price,latitude,longitude,accommodates,bathrooms,bedrooms,beds,review_scores_value,license,instant_bookable,distance_min,amenity_parking,amenity_luxurious,amenity_workspace,amenity_dryer,amenity_washer,amenity_outdoor,amenity_security,amenity_balcony_view,amenity_entertainment,amenity_family,amenity_fitness,amenity_pet_friendly,amenity_accessibility,amenities_count,is_entire_home
290.0,40.74828,-73.9917,2,1.0,1.0,1.0,4.86,False,False,0.2852874208388921,True,True,True,True,True,False,False,False,False,False,False,False,True,26,True
120.0,40.71481,-73.99059,2,1.0,1.0,1.0,4.41,False,False,1.1044672048556197,False,False,False,False,False,False,False,False,True,False,False,False,False,21,False
295.0,40.71942398164986,-73.96005436966747,2,1.0,1.0,1.0,4.83,True,False,3.4471289806206835,True,True,True,True,True,False,True,True,False,False,False,False,False,36,False
143.0,40.67379,-73.96623,2,1.0,1.0,1.0,4.75,False,False,4.426556034617606,True,True,True,True,True,False,True,False,False,False,False,False,True,46,False
160.0,40.7149363238612,-73.96085072130779,2,1.0,1.0,1.0,4.88,True,False,3.2003859474936194,True,True,True,True,True,False,False,False,False,False,True,False,False,49,False
204.0,40.88095,-73.91701,2,1.0,2.0,4.0,4.65,False,False,11.490221434341326,True,True,True,True,False,True,True,True,False,True,False,False,False,51,True
120.0,40.77,-73.95842,1,1.0,1.0,1.0,4.7,False,False,1.1191489312406988,False,True,True,True,False,False,True,False,False,False,False,False,True,13,False
189.0,40.69031,-73.92796,2,1.5,1.0,1.0,4.86,True,False,6.08477574544744,True,False,False,True,True,True,False,True,False,False,False,False,False,22,False
304.0,40.67707,-73.97062,5,1.0,2.0,2.0,4.63,False,False,3.914941366166903,False,True,True,True,True,False,False,False,False,False,False,False,True,36,True
45.0,40.68567,-73.94865,1,1.0,1.0,1.0,4.56,False,False,4.666706221878781,False,True,True,True,False,False,True,False,False,False,False,False,False,22,False
313.0,40.68607,-73.98074,6,2.0,3.0,4.0,4.8,False,False,2.6101769094418468,True,True,True,True,True,True,True,True,True,True,False,False,False,62,True
415.0,40.65914535522461,-73.95812225341797,4,1.0,1.0,3.0,4.77,False,False,6.159089855858607,True,True,True,True,True,True,True,True,False,False,False,True,False,54,True
